"Points:0","Points:1","Points:2"
23.7568,-48.8957,-41.7984
48.7365,-56.1929,-79.2097
47.7255,-56.8375,-78.0702
48.8366,-57.0564,-82.2581
49.4822,-56.3453,-82.1167
52.2387,-52.5274,-80.8697
53.3713,-50.383,-79.7332
57.9027,-47.6219,-89.4903
63.2725,-42.2596,-97.5119
65.753,-29.7295,-87.0114
65.7766,-28.2544,-85.4947
57.5462,-40.0645,-75.0156
59.5453,-36.1997,-75.3309
57.9927,-31.1035,-68.7881
37.8423,-50.0132,-54.6092
34.6578,-48.5927,-50.7538
34.2324,-46.9238,-49.4504
30.785,-46.8736,-46.438
35.715,-40.9772,-48.5044
42.9571,-43.3588,-54.5061
46.2793,-36.0542,-53.7695
45.895,-36.8836,-53.7192
51.9302,-19.0173,-57.9555
51.3427,-12.2544,-55.752
0.194409,-40.0248,-27.6505
0.762194,-42.8791,-28.6929
3.60188,-39.3826,-27.8157
2.98768,-38.6345,-27.8115
2.68678,-39.3563,-27.7532
3.57325,-37.9007,-27.9499
5.243,-37.9487,-28.0901
8.70582,-33.5426,-29.4745
8.38851,-32.8042,-29.148
7.60636,-32.6028,-28.7389
7.93665,-40.9764,-28.5765
9.20906,-40.2823,-28.7667
12.7185,-43.277,-31.3459
13.574,-43.3802,-31.8414
13.8064,-41.7886,-31.1085
12.4385,-35.7292,-30.2342
14.9306,-35.8376,-31.4512
19.3463,-41.4264,-35.0393
13.7611,-32.1531,-31.1397
13.9738,-33.0583,-31.5709
13.5595,-31.4596,-30.3263
12.88,-32.0694,-30.5781
17.1192,-37.5079,-32.618
21.9339,-30.9333,-36.1467
21.8454,-39.8821,-36.8954
26.4759,-34.8181,-41.9149
2.33614,-31.389,-25.8083
0.601578,-28.0663,-23.009
7.86314,-30.8962,-26.628
10.316,-28.9188,-25.873
13.8563,-30.3717,-29.0754
14.8923,-29.2127,-28.6025
14.0461,-29.1201,-28.0127
15.9663,-27.794,-28.3577
16.6323,-27.7718,-28.8139
15.6337,-26.866,-27.7074
17.3523,-25.5731,-28.3944
18.998,-24.0978,-29.0981
0.174183,-18.3827,-22.1011
2.80668,-26.6704,-22.7376
14.884,-18.0265,-25.8337
24.3551,-25.7578,-34.0876
25.043,-22.0385,-33.3216
20.6817,-8.35131,-31.7968
29.6697,-17.53,-36.6498
30.0268,-13.1954,-37.6294
33.5247,-26.854,-40.2891
37.2812,-27.583,-43.4456
32.0037,-26.7131,-39.2862
31.7093,-25.8558,-38.7706
29.0233,-20.6547,-36.0049
32.4334,-11.7692,-39.27
34.2513,-14.0593,-40.3739
35.0132,-14.0602,-40.7575
38.6293,-8.24991,-41.5386
46.7494,-8.40096,-49.1141
0.984447,-10.9089,-20.2341
17.4707,-15.8548,-27.6313
15.3358,-7.55906,-27.7548
15.2648,-6.07612,-27.8369
18.9507,-3.17235,-30.7445
19.1198,-3.97556,-31.3804
18.4361,-3.80938,-30.2218
18.702,-3.16738,-30.0417
17.5074,-3.6168,-25.7063
17.988,-3.36853,-26.3582
18.8078,-2.47491,-25.4102
18.363,-2.83429,-24.7499
20.2789,4.28697,-25.9139
20.4113,2.68961,-25.0187
20.4112,11.0132,-31.3158
30.5429,5.63662,-37.2993
16.7643,2.19137,-14.4675
16.0325,2.83811,-12.9831
14.309,5.08817,-9.59393
3.18239,6.15816,0.648871
0.99428,10.5773,-0.580283
2.64326,9.55808,-0.25068
8.03156,5.97334,-1.1289
8.46017,6.90266,-1.54873
19.0804,0.581163,-19.9705
19.4774,1.20227,-20.7037
18.7444,0.458431,-19.2151
8.86002,11.9009,-3.96554
10.9355,12.8113,-7.13303
66.5074,-31.3054,-92.2169
71.0309,-18.6625,-104.303
66.9686,-24.5833,-86.7677
68.9773,-18.6156,-90.9399
72.0731,-5.95628,-114.05
71.8187,-7.47329,-100.322
72.5191,-2.24711,-104.793
65.9531,-23.7575,-82.3761
70.0573,2.24918,-86.9358
71.689,9.69867,-91.1967
59.6291,-16.9507,-66.9331
55.0961,-11.5786,-60.2252
51.8501,-9.30818,-55.6589
50.8657,4.9524,-51.2734
53.6578,6.37982,-53.6785
54.663,8.70395,-54.3843
67.2434,3.79174,-74.5153
67.8436,9.00621,-74.3987
69.1687,15.7096,-77.1989
68.9137,14.2241,-76.4825
68.2804,14.2356,-74.3287
56.69,10.022,-56.314
57.5087,15.9828,-56.94
71.2969,39.6113,-84.4868
77.765,36.4656,-123.043
74.8879,41.037,-96.7336
73.9871,44.7958,-90.8097
70.4058,60.5519,-76.9161
24.5492,10.8949,-34.9529
25.9106,18.492,-39.1311
30.7476,19.1105,-41.7133
23.5359,25.8685,-40.5549
24.3591,25.9963,-41.0584
22.8137,29.6937,-41.4044
23.2614,28.8904,-41.4045
24.1604,30.3657,-41.6087
30.5606,30.1416,-42.0266
16.5643,23.0923,-32.1301
18.3252,32.1306,-40.1171
19.2134,32.5876,-40.9146
19.5561,31.3862,-40.5884
21.1744,27.4846,-39.6313
27.6734,32.4845,-41.4991
45.054,7.43588,-46.2957
46.8049,12.5228,-48.0021
47.0958,17.8695,-48.9177
48.7609,19.8468,-50.377
42.6135,26.1074,-47.2075
42.9661,34.3275,-46.2235
45.5418,38.1033,-45.8261
57.6848,33.9166,-60.4938
57.2646,33.167,-60.042
59.134,38.4106,-61.7532
51.9951,41.5592,-52.5244
21.5032,40.9372,-41.6612
31.4451,46.5662,-36.7709
25.3893,52.7705,-35.6299
26.4403,52.83,-35.6009
26.1979,53.615,-34.8686
20.9997,58.0236,-27.3734
20.8623,58.8356,-26.6485
27.6405,67.5837,-26.8783
35.597,39.0015,-39.5302
34.9811,40.4878,-38.8219
38.2345,44.8927,-37.9785
39.973,38.0607,-41.4929
40.1146,37.3186,-42.2273
39.7381,38.8759,-40.882
40.6958,42.5468,-39.9532
39.066,48.6187,-37.4879
37.9999,49.5482,-36.9498
59.4176,46.7243,-58.1007
60.3814,47.9278,-58.4022
65.0979,47.9582,-66.8696
62.77,51.7263,-60.2902
62.5894,52.4698,-59.6567
61.5051,54.7529,-56.7399
60.9485,53.2665,-56.1419
58.7944,60.0861,-51.2243
61.8695,59.9918,-59.0118
60.7949,58.5408,-55.3942
54.6801,67.0534,-49.725
27.4112,70.5938,-27.5642
31.4625,70.322,-29.3145
34.4362,72.6557,-32.0919
36.6197,90.5715,-38.8151
43.9179,66.3713,-36.1067
45.0561,65.65,-36.7114
44.6794,64.8995,-36.3626
43.532,65.5708,-35.6778
51.591,57.9573,-42.9147
52.9484,67.0252,-47.1088
66.5594,77.8377,-69.7253
62.0697,83.183,-64.4113
70.5955,94.9664,-81.7399
54.9412,85.7434,-55.9056
36.6154,98.8522,-41.0048
57.8358,100.516,-65.4108
54.3212,102.867,-61.6524
0.271971,19.4272,-5.35983
1.31582,22.694,-7.12555
1.53911,23.5394,-7.60108
2.61071,21.0333,-6.35022
1.32312,19.3063,-5.21753
3.05513,22.6846,-7.43481
3.67502,21.9859,-7.27398
5.22439,22.4059,-8.74366
4.20377,21.2498,-7.12308
4.13165,25.6117,-9.62244
2.04031,55.7892,-23.4951
0.49973,58.6535,-23.0074
3.25539,56.3753,-23.8103
3.79778,57.2302,-23.8767
9.84393,32.8962,-27.481
11.6664,29.1155,-28.62
10.182,32.8914,-29.0449
11.3728,31.3505,-30.3627
11.8023,30.0364,-30.0271
5.9023,33.7747,-16.1599
6.26674,32.9836,-16.1069
5.05355,36.1131,-17.0532
4.27356,33.0953,-14.1846
2.91843,36.0002,-15.5818
3.04999,33.7503,-13.9879
3.06155,36.6982,-16.1772
6.17589,35.292,-17.5997
5.41604,32.3334,-14.6755
4.03809,32.3196,-13.5071
7.55277,31.5095,-17.2909
8.15242,31.5863,-18.592
7.03646,34.3485,-18.1836
7.38782,30.7717,-16.5569
6.87643,30.924,-15.7595
13.125,38.7158,-37.5676
11.0596,41.2009,-35.7408
16.4383,43.3055,-41.8442
17.3832,43.2584,-41.9512
15.9349,41.0286,-41.6825
15.5342,41.8405,-41.6617
17.25,40.311,-41.9303
18.9014,41.7644,-42.1102
18.8949,42.5543,-41.9298
17.7849,44.0563,-41.6697
16.1053,44.0646,-41.5828
15.5827,43.3296,-41.6353
15.33,42.5864,-41.5662
19.4267,40.9789,-42.1341
19.9159,42.404,-41.702
11.4162,47.2307,-34.9742
10.4226,43.4583,-35.1114
11.4936,44.1822,-36.5555
11.911,47.2586,-35.6734
9.38711,43.4817,-33.037
9.51806,44.9684,-33.0127
12.236,45.7531,-37.1021
0.795621,49.6428,-23.5576
1.023,52.6579,-23.6704
0.237086,48.9079,-23.3107
4.07496,49.702,-24.8354
3.36483,45.895,-22.9834
2.47054,49.6559,-24.0349
3.27268,49.5837,-24.3785
5.96018,47.4103,-26.0575
3.84224,45.1103,-22.7925
9.92047,53.3636,-27.7664
7.64916,53.2258,-26.6531
7.20224,50.2598,-27.3884
7.45592,54.1301,-26.1254
5.01884,54.0769,-24.9468
6.3895,56.068,-24.9452
6.83968,55.4959,-25.2938
4.25882,54.0677,-24.5731
6.93077,56.8123,-24.8373
3.77554,53.3811,-24.4736
0.420623,60.1563,-22.9582
1.02025,60.8894,-23.0217
2.93096,65.3368,-23.2766
1.50196,75.7588,-25.2272
1.44986,74.3785,-24.8552
5.15804,82.3007,-26.7804
16.6604,44.7983,-41.4001
17.0597,46.2747,-40.5578
18.0117,47.2352,-39.8264
16.4273,45.7136,-40.83
15.9465,44.9581,-41.1191
19.6506,46.7977,-39.88
16.9142,47.1071,-39.886
10.8611,51.7521,-29.7646
9.47871,48.7039,-30.7285
11.2649,48.5904,-33.3321
12.6604,54.6751,-27.8367
10.9623,55.3706,-26.6087
20.0455,57.0631,-28.095
18.1723,57.7838,-26.9061
7.47471,57.5364,-24.698
5.5354,58.5509,-24.0473
5.0373,64.5159,-23.4093
5.95023,64.4896,-23.462
12.7918,65.0432,-23.9174
13.708,65.017,-24.0308
10.1368,65.1693,-23.669
9.45552,64.3885,-23.6133
13.9303,61.2601,-24.3789
11.612,60.6064,-24.2271
13.3893,60.5258,-24.4867
15.0113,64.2294,-24.1888
16.8856,67.1973,-24.4777
15.828,70.1604,-24.8561
22.3673,65.5299,-25.1057
20.5418,64.0611,-24.7904
23.5089,64.7771,-25.2691
22.9132,62.4937,-25.384
23.9073,64.0355,-25.3623
20.3014,62.5779,-24.921
9.9453,71.13,-24.4995
13.1488,70.2772,-24.5926
14.3339,72.4458,-25.2066
13.3288,79.2234,-26.9688
19.7833,70.7885,-25.596
26.6419,73.059,-28.1534
5.71827,94.4242,-28.2319
4.87753,101.305,-29.3842
7.05119,105.74,-31.1889
4.61546,104.307,-30.2002
9.52242,103.287,-30.9686
6.5992,101.286,-29.7076
12.0348,98.029,-30.1563
13.7028,99.3337,-30.9365
10.6838,107.761,-32.917
10.1884,108.526,-33.0298
11.1498,86.8036,-28.1858
10.1656,86.9918,-28.0675
17.93,89.5946,-30.1374
16.2626,97.8701,-31.3041
21.8914,94.0082,-32.1484
23.804,97.7895,-33.7428
24.8479,98.3813,-34.3011
26.8843,99.1761,-35.3767
32.5334,95.9268,-37.1507
29.8877,93.9264,-35.2029
30.1134,97.5048,-36.2913
22.5159,108.182,-37.1576
21.6367,108.066,-36.7691
22.8693,108.913,-37.5423
21.2291,108.939,-36.8934
28.3481,102.812,-37.4599
30.5262,100.458,-37.6125
33.3016,103.208,-40.5482
55.6584,-52.0603,-101.583
65.1204,-38.4944,-112.296
65.9419,-37.7676,-109.216
65.182,-39.5908,-107.842
67.3799,-34.3709,-108.272
68.6856,-30.4586,-107.768
68.0686,-32.0329,-104.151
79.2979,-9.02198,-143.801
80.5211,-9.07281,-145.25
78.7533,-9.15814,-143.215
78.4356,-12.1973,-144.126
78.257,-9.72559,-142.719
78.0097,-11.2586,-142.872
69.3032,-11.9191,-135.855
70.8992,-9.74554,-135.506
66.9662,-11.3021,-135.588
69.6691,-12.4789,-136.191
71.0096,-11.9773,-136.253
71.6833,-11.1966,-136.229
71.4401,-8.8305,-135.604
70.2491,-8.05751,-135.032
71.1109,-8.09142,-135.362
68.0041,-8.76324,-134.894
67.445,-9.48713,-134.965
66.8986,-10.2209,-135.187
70.9839,-18.6391,-111.219
70.293,-20.8504,-114.254
71.2199,-7.50919,-121.284
71.5201,-4.3505,-135.734
70.3887,-6.57117,-134.954
73.0438,-7.39261,-136.768
72.5711,-8.1207,-136.307
70.4276,-3.58086,-135.007
71.9296,-3.52016,-136.311
75.3945,-2.96978,-139.599
75.9924,-5.97631,-140.245
76.6791,-4.49356,-140.875
73.7826,-3.67769,-138.255
76.8868,-2.82909,-140.803
74.709,-11.9761,-138.872
74.965,-12.6616,-139.56
75.5095,-12.6453,-140.207
74.457,-11.0003,-138.255
76.1467,-8.96268,-140.047
75.5469,-8.97773,-139.289
75.0259,-8.82453,-138.678
74.3927,-13.4653,-139.583
76.9421,-11.2324,-141.389
76.1257,-13.3487,-141.687
68.5806,-6.65004,-134.578
68.3285,-5.72327,-134.289
67.6671,-7.99405,-134.613
67.9146,-5.01369,-133.441
67.8701,-5.1145,-132.795
67.2824,-7.2609,-132.007
67.1531,-8.57978,-134.5
68.5048,-4.27849,-134.06
68.1147,-4.27175,-132.63
68.0482,-5.02239,-131.926
67.2726,-7.92296,-131.361
69.9165,-2.82677,-134.682
70.2013,-1.38475,-134.572
70.0443,-0.462014,-133.883
68.4531,-3.45169,-132.476
68.7042,-2.7986,-132.504
69.255,-1.31429,-132.386
69.6422,-0.455828,-132.169
70.2389,0.152056,-133.708
69.988,0.157052,-132.996
69.08,-2.06187,-131.654
73.1838,2.93213,-119.323
72.9085,2.36936,-122.302
81.8052,4.35474,-144.946
81.7123,5.19757,-144.877
81.4807,6.52551,-145.087
81.4514,7.3615,-146.592
81.0543,7.34835,-145.134
81.5812,3.5992,-144.41
81.4046,5.89501,-144.323
83.0965,-0.0583997,-146.867
81.4312,-9.10509,-146.533
82.2649,-9.11493,-147.884
83.4977,-6.90809,-148.385
83.8356,-5.42803,-148.14
87.8944,-1.03151,-155.098
87.4721,0.469805,-154.613
87.3853,-0.238776,-154.364
89.5592,1.90753,-156.981
73.0408,14.9282,-156
73.612,13.5834,-156.718
74.3606,13.5728,-157.043
75.1869,13.5097,-157.31
75.9785,14.8378,-157.466
72.8575,13.6138,-156.272
74.0034,12.8219,-156.782
73.1466,12.6951,-156.266
74.7232,12.942,-157.053
75.6752,12.7649,-157.209
76.4863,22.4851,-157.07
75.7873,22.4132,-156.427
75.4809,19.543,-157.09
77.1896,22.4464,-157.61
76.9802,19.4821,-157.893
77.8532,20.9583,-158.164
75.1587,22.5292,-155.706
74.7048,21.692,-155.713
74.7354,19.5529,-156.549
75.0551,18.7842,-156.844
76.5757,18.7429,-157.694
78.3293,21.7349,-158.174
77.8803,22.4973,-157.897
77.8022,19.4592,-158.181
78.3043,20.1953,-158.266
80.3838,17.0327,-157.947
80.3082,15.6637,-157.744
80.445,17.8715,-158.018
82.369,18.5633,-157.13
79.3685,17.1928,-158.153
79.1617,15.6375,-157.938
80.7726,13.9873,-157.061
83.2179,14.8441,-156.192
83.4057,17.8008,-156.457
78.6858,16.4019,-158.046
91.1875,4.10769,-158.982
91.123,2.62893,-158.981
89.1586,5.68102,-157.072
88.6777,4.9332,-156.623
87.8498,16.8678,-155.228
86.1648,13.9945,-154.948
87.1109,13.8067,-154.85
89.1229,16.1217,-155.567
88.7382,16.8927,-155.44
89.433,15.2127,-155.7
86.3451,17.702,-155.31
86.5486,13.2022,-154.707
87.606,13.0317,-154.737
84.7204,17.0103,-155.792
88.3548,13.1807,-154.95
89.4929,12.3791,-155.472
88.7465,12.4293,-155.014
90.1415,15.3142,-156.29
90.5788,12.982,-156.769
90.1709,12.3617,-156.172
89.8377,16.1427,-156.105
89.6914,11.6237,-155.682
90.9557,14.5942,-157.51
90.4874,11.6243,-156.816
76.3766,3.70395,-139.391
76.7029,4.47565,-139.649
75.045,4.3812,-138.891
77.8841,3.8131,-140.255
78.9533,4.41468,-140.971
78.1983,4.46498,-140.474
79.9396,2.02908,-142.219
78.6247,5.28418,-140.853
77.8469,5.22511,-140.36
78.3808,0.719956,-141.056
80.318,4.37914,-142.225
79.8429,5.14167,-141.739
80.469,2.16576,-142.829
74.0822,11.2208,-132.233
74.6871,14.2262,-132.753
73.8517,9.78397,-134.472
73.7683,9.78903,-132.165
74.2188,10.5183,-135.929
74.8831,14.913,-133.45
75.5278,15.8296,-134.979
75.9342,14.0538,-137.085
76.2956,14.8834,-136.987
76.1,14.9568,-136.283
76.2574,15.7123,-136.199
75.4661,17.1951,-129.69
75.3768,16.4595,-130.353
76.777,27.6672,-137.721
76.8653,29.0678,-135.401
76.3658,26.8791,-137.82
75.9963,26.8851,-136.345
75.9586,27.0939,-135.596
78.8012,28.2013,-154.186
79.1534,28.3484,-153.309
78.9974,27.808,-154.981
80.6144,26.1216,-155.333
81.239,27.7339,-152.126
80.5349,28.0745,-152.14
79.5074,28.3354,-152.462
78.1077,28.3194,-153.542
78.4732,28.3661,-152.692
77.1502,28.0607,-154.707
77.9315,27.9796,-155.189
78.5758,27.5521,-155.607
79.2572,27.0625,-155.741
81.2722,25.4218,-155.205
81.9213,27.2428,-151.757
81.4446,27.6152,-151.27
79.8564,28.2225,-151.605
78.8239,28.3132,-151.835
88.0902,26.6421,-154.315
88.7657,26.6147,-155.005
88.2173,29.6093,-154.214
87.3439,26.6618,-153.723
86.8286,28.0251,-153.023
87.8318,25.8891,-154.268
89.1314,25.8554,-155.505
89.2166,30.3349,-155.521
86.6079,26.6215,-153.231
89.6604,28.8238,-156.288
94.9406,18.9921,-164.229
94.3575,21.9881,-163.559
93.0529,21.1155,-163.57
92.5532,20.5391,-163.382
95.9604,21.9839,-164.267
96.5471,20.5384,-164.931
94.8856,22.7232,-163.577
95.6298,22.7129,-163.975
92.1955,19.8082,-163.07
92.5579,19.2073,-163.029
92.5635,21.8605,-163.712
92.0107,21.3254,-163.465
91.7699,20.4401,-162.87
87.5402,20.6783,-155.217
85.8726,20.7965,-155.169
88.7216,19.8752,-155.658
84.8627,20.0169,-155.617
92.6102,28.7753,-164.749
92.2404,28.0353,-164.614
93.6368,28.7452,-164.623
91.8849,27.3046,-164.404
95.0157,27.2118,-163.747
93.1371,29.5103,-164.716
91.8933,28.7948,-164.335
94.155,29.4797,-164.366
91.6733,26.5596,-164.151
91.7864,25.8165,-164.298
91.3239,27.3186,-163.678
92.3244,25.0607,-164.329
94.4043,24.9884,-163.691
95.4948,26.4867,-163.464
96.0615,27.1705,-163.432
95.574,27.9851,-163.482
96.3264,26.4234,-163.709
94.7288,32.4425,-163.787
96.0051,30.1728,-163.239
97.515,31.7375,-162.539
97.0547,32.3706,-162.367
94.1845,30.9891,-164.252
96.6717,29.3628,-163.119
97.1815,30.108,-163.008
97.6906,30.8633,-162.938
98.0663,32.4915,-162.429
97.6838,33.0018,-162.116
96.9234,33.7241,-162.104
94.2603,33.1967,-163.884
93.6637,32.5647,-164.188
93.0189,31.9136,-164.371
90.3671,36.301,-157.681
88.4887,35.6042,-154.266
88.8046,37.8562,-154.326
95.6707,37.0724,-162.291
94.0163,37.002,-162.834
93.53,36.1668,-163.154
93.5835,35.086,-163.538
92.9711,35.4532,-163.317
93.608,33.9059,-163.898
96.9976,34.6017,-161.906
97.5144,35.3659,-161.547
94.5367,37.3665,-162.637
95.0184,37.7418,-162.357
93.8714,37.7753,-162.448
93.2197,37.1144,-162.602
92.7123,36.3791,-162.722
92.4923,34.7668,-163.33
92.2201,35.4931,-162.747
92.6364,39.415,-160.321
93.2498,40.3672,-160.188
93.187,40.8674,-159.609
91.8267,37.7583,-160.496
93.2495,39.7487,-160.729
92.329,37.8562,-161.266
93.86,40.8298,-160.197
94.0043,40.0675,-160.9
93.7696,41.5402,-159.42
90.8522,37.7899,-158.418
91.008,39.4335,-157.61
92.9427,38.3198,-161.612
93.4079,38.9861,-161.449
83.3363,27.5592,-150.89
84.1541,27.5369,-151.343
84.9439,28.9548,-151.386
83.5921,30.4808,-150.176
82.3306,28.1055,-149.937
82.712,27.8157,-150.353
82.4466,27.375,-150.923
82.9957,27.0699,-151.22
83.652,26.8319,-151.575
84.8739,31.187,-151.143
81.77,27.6231,-150.429
81.647,28.1843,-149.618
81.4738,29.0374,-148.912
82.5562,26.8344,-151.809
82.1178,35.597,-147.478
81.3959,32.7992,-148.245
82.0712,35.7627,-148.811
81.8151,34.9397,-148.783
81.7358,34.0828,-146.012
82.5738,36.3143,-147.543
81.1095,32.0423,-146.739
81.3616,32.7425,-145.845
82.4496,36.4539,-149.405
82.2082,35.011,-149.618
82.4275,36.6022,-148.642
82.0704,34.264,-149.421
82.2778,33.5182,-149.577
82.3783,32.1941,-149.376
83.224,35.781,-146.208
82.8582,35.079,-145.488
81.6934,32.7102,-144.992
82.1559,34.2485,-145.345
79.2469,33.6872,-134.25
81.8056,33.4127,-137.306
83.6875,43.9043,-137.823
84.1499,43.8934,-138.611
84.4431,40.1396,-137.437
85.1254,42.5446,-138.615
85.7337,41.7068,-138.651
84.9903,43.8309,-139.171
83.5012,44.6776,-137.068
84.1222,44.5537,-138.353
84.6899,44.5494,-139.015
89.8801,40.9359,-154.188
90.0969,41.5292,-153.978
89.157,42.6578,-151.128
88.5385,42.0955,-151.141
88.6787,39.3279,-153.519
88.2837,39.3378,-153.033
89.5706,39.3063,-154.857
90.7921,43.7547,-152.294
90.3198,43.4561,-151.64
87.7397,40.0906,-152.009
87.8439,41.7239,-150.649
89.3008,42.9512,-150.308
87.3803,41.2275,-150.751
99.0839,44.316,-155.807
97.1514,44.536,-153.913
97.9883,45.2298,-153.206
97.1256,44.8945,-153.151
97.3486,44.0546,-155.322
97.8929,43.8491,-155.446
98.5828,43.6105,-155.906
100.049,45.6,-156.242
97.7201,45.8752,-152.377
97.2872,45.1982,-152.594
95.9848,44.8385,-153.467
95.7815,44.6495,-155.109
96.4432,44.3319,-155.637
97.6187,43.4387,-156.018
98.1906,43.0629,-156.289
98.648,42.851,-156.76
90.2983,43.7671,-142.302
88.993,43.7509,-141.046
88.9498,46.7539,-141.188
89.7679,42.9911,-141.957
90.4187,42.9261,-143.185
90.8172,43.6845,-143.078
91.0544,44.4578,-143.027
91.2895,45.9419,-143.103
91.3635,44.3307,-143.604
